Unnamed: 0,X.2,X.1,X,country,year,ciri,unreg,unsubreg,disap,kill,polpris,tort,assn,formov,dommov,speech,elecsd,rel_free,union_p,barg_p,hour_p,force_p,child_p,wage_p,safe_p,trafficking_p,injud,wecon,wopol,wosoc_p,ngo_freedom,trial_p,wosoc_l,union_l,barg_l,hour_l,force_l,child_l,wage_l,safe_l,trafficking_l,americas,europe,asia_middle_east,africa,oceania,atrocity_years,physint_sum,workerrights_practices_sum,repression_sum,civpol_sum,human_rights_score,workerrights_laws_sum,bbatrocity,zero_kill,zero_disap,zero_polpris,zero_tort,bbatrocity_intensity,avg_kill3,avg_disap3,avg_polpris3,avg_tort3,avg_bbatrocity_intensity3,avg_speech3,avg_rel_free3,avg_dommov3,avg_formov3,avg_assn3,avg_wopol3,avg_wosoc_l3,avg_wosoc_p3,avg_wecon3,avg_union_l3,avg_union_p3,avg_barg_l3,avg_barg_p3,avg_force_l3,avg_force_p3,avg_child_l3,avg_child_p3,avg_wage_l3,avg_wage_p3,avg_safe_l3,avg_safe_p3,avg_hour_l3,avg_hour_p3,avg_trafficking_l3,avg_trafficking_p3,avg_trial_p3,avg_injud3,wopol_two,wecon_two,wosoc_two,trial_two,atrocity_hrscore,emp_rights_sum,hrscorex2,avg_ngo3,avg_elecsd3
1,1,1,1,Afghanistan,2005,101,142,62,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0,0,1,0,0,28,4.0,1.0,5.0,1.0,20.0,6.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,1,20.0,,
18,18,18,18,Albania,2005,104,150,39,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,0,1,0,0,0,4,7.0,4.0,11.0,4.0,54.0,11.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,5,54.0,,
35,35,35,35,Algeria,2005,107,2,15,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,,1.0,0.0,,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0,0,0,1,0,10,5.0,9.0,5.0,0.0,,11.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,3,,,
52,52,52,52,Andorra,2005,110,150,39,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,,0,1,0,0,0,0,8.0,7.0,16.0,6.0,,5.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,2.0,6,,,
69,69,69,69,Angola,2005,113,2,17,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0,0,0,1,0,18,3.0,3.0,6.0,3.0,36.0,11.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,2,36.0,,
86,86,86,86,Antigua and Barbuda,2005,116,419,29,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,,2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,,1,0,0,0,0,0,7.0,9.0,15.0,5.0,,9.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,2.0,6,,,
103,103,103,103,Argentina,2005,119,419,5,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1,0,0,0,0,7,6.0,5.0,12.0,6.0,66.0,9.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,,2.0,9,66.0,,
120,120,120,120,Armenia,2005,122,142,145,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0,0,1,0,0,1,5.0,4.0,8.0,3.0,46.0,12.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,4,46.0,,
137,137,137,137,Australia,2005,125,9,53,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,0,0,0,0,1,0,7.0,12.0,16.0,6.0,86.0,11.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,2.0,8,86.0,,
154,154,154,154,Austria,2005,128,150,155,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0,1,0,0,0,0,7.0,12.0,12.0,3.0,76.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,8,76.0,,
